n1;n2;direction
7190;7200;vertical
7172;7175;vertical
7172;7173;horitzontal
7173;7178;vertical
7173;7174;horitzontal
7174;7186;horitzontal
7186;7188;vertical
7186;7187;horitzontal
7187;7189;vertical
7188;7180;vertical
7188;7189;horitzontal
7189;7214;vertical
7175;7181;vertical
7175;7176;horitzontal
7176;7177;horitzontal
7177;7182;vertical
7177;7178;horitzontal
7178;7179;horitzontal
7179;7184;vertical
7179;7180;horitzontal
7181;7185;vertical
7181;7182;horitzontal
7182;7183;horitzontal
7183;7198;vertical
7183;7184;horitzontal
7185;7191;vertical
7191;7193;vertical
7191;7192;horitzontal
7192;7200;horitzontal
7200;7202;vertical
7200;7201;horitzontal
7193;7195;vertical
7193;7194;horitzontal
7194;7196;vertical
7194;7202;horitzontal
7202;7204;vertical
7202;7203;horitzontal
7203;7206;vertical
7195;7197;vertical
7195;7196;horitzontal
7196;7204;horitzontal
7204;7209;vertical
7204;7205;horitzontal
7205;7206;horitzontal
7206;7210;vertical
7206;7207;horitzontal
7207;7208;horitzontal
7208;7233;vertical
7197;7199;vertical
7197;7198;horitzontal
7198;7213;vertical
7198;7209;horitzontal
7209;7211;vertical
7209;7210;horitzontal
7210;7232;vertical
7199;7212;vertical
7199;7211;horitzontal
7211;7231;vertical
7212;7215;vertical
7212;7213;horitzontal
7213;7220;vertical
7213;7214;horitzontal
7214;7216;vertical
7215;7219;vertical
7215;7216;horitzontal
7216;7221;vertical
7216;7217;horitzontal
7217;7218;horitzontal
7219;7222;vertical
7219;7220;horitzontal
7220;7223;vertical
7220;7221;horitzontal
7221;7224;vertical
7222;7226;vertical
7222;7223;horitzontal
7223;7224;horitzontal
7224;7228;vertical
7224;7225;horitzontal
7226;7235;vertical
7226;7227;horitzontal
7227;7237;vertical
7227;7228;horitzontal
7228;7238;vertical
7228;7229;horitzontal
7229;7242;vertical
7229;7230;horitzontal
7230;7243;vertical
7230;7231;horitzontal
7231;7232;horitzontal
7232;7245;vertical
7232;7233;horitzontal
7233;7234;horitzontal
7234;7246;vertical
7235;7248;vertical
7235;7236;horitzontal
7236;7240;vertical
7236;7237;horitzontal
7237;7241;vertical
7237;7238;horitzontal
7238;7239;horitzontal
7239;7252;vertical
7239;7242;horitzontal
7242;7256;vertical
7242;7243;horitzontal
7243;7257;vertical
7243;7244;horitzontal
7244;7258;vertical
7244;7245;horitzontal
7245;7259;vertical
7245;7246;horitzontal
7246;7260;vertical
7246;7247;horitzontal
7247;7261;vertical
7240;7249;vertical
7240;7241;horitzontal
7248;7249;horitzontal
7249;7254;vertical
7249;7250;horitzontal
7250;7255;vertical
7250;7251;horitzontal
7251;7281;vertical
7251;7252;horitzontal
7252;7277;vertical
7252;7253;horitzontal
7253;7256;horitzontal
7256;7279;vertical
7256;7257;horitzontal
7257;7258;horitzontal
7258;7289;vertical
7258;7259;horitzontal
7259;7268;vertical
7259;7260;horitzontal
7260;7263;vertical
7260;7261;horitzontal
7254;7280;vertical
7254;7255;horitzontal
7262;7265;vertical
7262;7263;horitzontal
7263;7267;vertical
7263;7264;horitzontal
7265;7266;horitzontal
7266;7269;vertical
7266;7267;horitzontal
7267;7270;vertical
7268;7272;vertical
7268;7269;horitzontal
7269;7270;horitzontal
7270;7275;vertical
7270;7271;horitzontal
7271;7276;vertical
7272;7292;vertical
7272;7273;horitzontal
7273;7309;vertical
7273;7274;horitzontal
7274;7310;vertical
7274;7275;horitzontal
7275;7311;vertical
7275;7276;horitzontal
7277;7283;vertical
7277;7278;horitzontal
7278;7286;vertical
7278;7279;horitzontal
7279;7287;vertical
7280;7294;vertical
7280;7281;horitzontal
7281;7282;horitzontal
7282;7296;vertical
7282;7283;horitzontal
7283;7284;horitzontal
7284;7298;vertical
7284;7285;horitzontal
7285;7299;vertical
7285;7286;horitzontal
7286;7301;vertical
7286;7287;horitzontal
7287;7288;horitzontal
7288;7303;vertical
7288;7289;horitzontal
7289;7305;vertical
7289;7290;horitzontal
7290;7291;horitzontal
7291;7306;vertical
7291;7292;horitzontal
7292;7307;vertical
7293;7294;horitzontal
7294;7295;horitzontal
7295;7296;horitzontal
7296;7297;horitzontal
7297;7298;horitzontal
7298;7299;horitzontal
7299;7300;horitzontal
7300;7301;horitzontal
7301;7302;horitzontal
7302;7303;horitzontal
7303;7304;horitzontal
7304;7305;horitzontal
7305;7306;horitzontal
7306;7307;horitzontal
7307;7308;horitzontal
7308;7309;horitzontal
7309;7310;horitzontal
7310;7311;horitzontal
