src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
50120516-0516.tif;1;0;754;1000;659;11;11;4;659;11;670;11;670;15;659;15;’**';SSSS;0.6;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;636;12;4;4;636;12;640;12;640;16;636;16;P;A;0.22;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;652;12;2;1;652;12;654;12;654;13;652;13;w;A;0.0;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;672;13;5;3;672;13;677;13;677;16;672;16;v;A;0.0;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;606;39;5;7;606;39;611;39;611;46;606;46;t;A;0.16;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;626;39;2;2;626;39;628;39;628;41;626;41;a;A;0.22;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;633;40;3;1;633;40;636;40;636;41;633;41;m;A;0.32;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;77;56;41;8;77;56;118;56;118;64;77;64;Quotation;AAAAAAAAA;0.39;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;625;56;4;3;625;56;629;56;629;59;625;59;&;S;0.0;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;121;57;14;6;121;57;135;57;135;63;121;63;No:;AAS;0.31;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;573;68;60;16;573;68;633;68;633;84;573;84;Harrogate';AAAAAAAAAS;0.57;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;503;69;28;13;503;69;531;69;531;82;503;82;Otley;AAAAA;0.62;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;536;69;32;13;536;69;568;69;568;82;536;82;Road,;AAAAS;0.91;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;77;75;46;10;77;75;123;75;123;85;77;85;Pro|octNo:;AAASAAAAAS;0.3;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;196;76;6;10;196;76;202;76;202;86;196;86;1;N;0.81;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;160;77;25;9;160;77;185;77;185;86;160;86;DMB;AAA;0.57;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;503;84;31;10;503;84;534;84;534;94;503;94;North;AAAAA;0.35;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;538;84;54;11;538;84;592;84;592;95;538;95;Yorkshire;AAAAAAAAA;0.63;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;596;85;51;11;596;85;647;85;647;96;596;96;HG31PY;AANNAA;0.51;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;76;94;21;9;76;94;97;94;97;103;76;103;Your;AAAA;0.34;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;99;95;41;8;99;95;140;95;140;103;99;103;reference:;AAAAAAAAAS;0.47;undefined;OTHER;OTHER
50120516-0516.tif;1;0;754;1000;213;95;15;11;213;95;228;95;228;106;213;106;10;NN;0.43;undefined;OTHER;OTHER
