src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
518253707+-3715.tif;1;0;754;1000;527;31;65;9;527;31;592;31;592;40;527;40;Disbursement;AAAAAAAAAAAA;0.36;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;595;31;54;9;595;31;649;31;649;40;595;40;Accounting;AAAAAAAAAA;0.41;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;653;31;17;8;653;31;670;31;670;39;653;39;Uso;AAA;0.22;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;673;31;26;7;673;31;699;31;699;38;673;38;ONLY;AAAA;0.37;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;386;32;19;8;386;32;405;32;405;40;386;40;Date;AAAA;0.24;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;467;32;21;10;467;32;488;32;488;42;467;42;Page;AAAA;0.5;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;409;33;38;9;409;33;447;33;447;42;409;42;Prepared;AAAAAAAA;0.37;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;58;41;85;14;58;41;143;41;143;55;58;55;BUSINESS;AAAAAAAA;0.82;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;149;41;79;14;149;41;228;41;228;55;149;55;EXPENSE;AAAAAAA;0.8;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;233;41;85;13;233;41;318;41;318;54;233;54;VOUCHER;AAAAAAA;0.9;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;655;43;28;11;655;43;683;43;683;54;655;54;8.75;NSNN;0.69;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;387;45;45;10;387;45;432;45;432;55;387;55;02/20/97;NNSNNSNN;0.58;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;480;45;18;12;480;45;498;45;498;57;480;57;lot;AAA;0.46;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;514;45;4;9;514;45;518;45;518;54;514;54;1;N;0.36;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;386;62;28;7;386;62;414;62;414;69;386;69;Return;AAAAAA;0.34;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;417;62;9;7;417;62;426;62;426;69;417;69;to:;AAS;0.3;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;59;64;42;10;59;64;101;64;101;74;59;74;Employe*;AAAAAAAS;0.3;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;240;64;37;7;240;64;277;64;277;71;240;71;Account;AAAAAAA;0.3;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;279;64;35;7;279;64;314;64;314;71;279;71;Number;AAAAAA;0.31;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;104;65;25;7;104;65;129;65;129;72;104;72;Name;AAAA;0.34;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;247;76;33;10;247;76;280;76;280;86;247;86;75586;NNNNN;0.57;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;63;77;32;12;63;77;95;77;95;89;63;89;Roger;AAAAA;0.7;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;99;77;8;10;99;77;107;77;107;87;99;87;L.;AS;0.55;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;112;77;45;12;112;77;157;77;157;89;112;89;Mozir.go;AAAAASAA;0.57;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;643;82;14;8;643;82;657;82;657;90;643;90;*';SS;0.5;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;614;83;22;14;614;83;636;83;636;97;614;97;iff;AAA;0.34;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;635;85;5;6;635;85;640;85;640;91;635;91;4;N;0.29;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;241;92;44;7;241;92;285;92;285;99;241;99;Extension;AAAAAAAAA;0.42;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;286;92;36;7;286;92;322;92;322;99;286;99;Number;AAAAAA;0.16;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;184;93;5;9;184;93;189;93;189;102;184;102;);S;0.24;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;188;105;51;11;188;105;239;105;239;116;188;116;Relations;AAAAAAAAA;0.49;undefined;OTHER;OTHER
518253707+-3715.tif;1;0;754;1000;248;105;28;12;248;105;276;105;276;117;248;117;(910);SNNNS;0.42;undefined;OTHER;OTHER
