src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
83542513.tif;1;0;754;1000;575;72;1;1;575;72;576;72;576;73;575;73;';S;0.54;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;582;72;10;7;582;72;592;72;592;79;582;79;9f;NA;0.56;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;598;76;4;2;598;76;602;76;602;78;598;78;-;S;0.54;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;402;188;48;8;402;188;450;188;450;196;402;196;980924SJB;NNNNNNAAA;0.43;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;371;189;16;7;371;189;387;189;387;196;371;196;Job;AAA;0.67;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;390;189;8;6;390;189;398;189;398;195;390;195;a:;AS;0.25;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;190;197;54;14;190;197;244;197;244;211;190;211;Professional;AAAAAAAAAAAA;0.51;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;247;197;24;10;247;197;271;197;271;207;247;207;Court;AAAAA;0.39;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;274;197;41;13;274;197;315;197;315;210;274;210;Reporters;AAAAAAAAA;0.5;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;402;207;35;7;402;207;437;207;437;214;402;214;09/24)98;NNSNNSNN;0.34;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;356;208;16;7;356;208;372;208;372;215;356;215;Job;AAA;0.54;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;375;208;23;7;375;208;398;208;398;215;375;215;Date:;AAAAS;0.61;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;190;213;13;10;190;213;203;213;203;223;190;223;295;NNN;0.43;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;205;213;38;10;205;213;243;213;243;223;205;223;Devonshire;AAAAAAAAAA;0.35;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;245;213;20;10;245;213;265;213;265;223;245;223;Sind;AAAA;0.29;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;401;224;36;7;401;224;437;224;437;231;401;231;09/24)98;NNSNNSNN;0.3;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;348;225;25;7;348;225;373;225;373;232;348;232;Order;AAAAA;0.48;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;375;225;22;7;375;225;397;225;397;232;375;232;Dale:;AAAAS;0.42;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;191;226;24;10;191;226;215;226;215;236;191;236;Bcaor).;AAAAASS;0.24;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;218;226;49;10;218;226;267;226;267;236;218;236;Musadmsdts;AAAAAAAAAA;0.35;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;268;226;21;10;268;226;289;226;289;236;268;236;02110;NNNNN;0.36;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;229;239;32;10;229;239;261;239;261;249;229;249;mm;AA;0.15;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;191;240;36;10;191;240;227;240;227;250;191;250;mm;AA;0.14;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;534;240;45;10;534;240;579;240;579;250;534;250;Invoice;AAAAAAA;0.78;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;583;241;6;9;583;241;589;241;589;250;583;250;it;AA;0.54;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;190;253;16;9;190;253;206;253;206;262;190;262;MX;AA;0.12;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;208;253;51;10;208;253;259;253;259;263;208;263;<617)42X601;SNNNSNNANNN;0.24;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;406;259;3;7;406;259;409;259;409;266;406;266;t;A;0.3;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;414;259;3;7;414;259;417;259;417;266;414;266;I;A;0.57;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;339;260;20;7;339;260;359;260;359;267;339;267;Dale;AAAA;0.55;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;362;260;9;7;362;260;371;260;371;267;362;267;ol;AA;0.67;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;373;260;24;7;373;260;397;260;397;267;373;267;Loss:;AAAAS;0.6;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;539;260;50;10;539;260;589;260;589;270;539;270;Inv.Date;AAASAAAA;0.73;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;632;262;36;9;632;262;668;262;668;271;632;271;10/02/98;NNSNNSNN;0.42;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;188;265;58;13;188;265;246;265;246;278;188;278;/nfesW»»i.cwa;SAAAAASSASAAA;0.32;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;348;274;20;7;348;274;368;274;368;281;348;281;Your;AAAA;0.44;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;370;274;16;7;370;274;386;274;386;281;370;281;File;AAAA;0.41;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;390;274;8;7;390;274;398;274;398;281;390;281;9:;NS;0.73;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;540;279;49;9;540;279;589;279;589;288;540;288;Balance;AAAAAAA;0.77;undefined;OTHER;OTHER
83542513.tif;1;0;754;1000;346;292;20;7;346;292;366;292;366;299;346;299;Your;AAAA;0.49;undefined;OTHER;OTHER
