src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
83553577_3578.tif;1;0;754;1000;32;79;45;8;32;79;77;79;77;87;32;87;BAC£ftt-a;AAASAAASA;0.17;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;82;79;37;7;82;79;119;79;119;86;82;86;BERMAN;AAAAAA;0.4;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;648;84;39;11;648;84;687;84;687;95;648;95;8397;NNNN;0.59;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;78;91;1;1;78;91;79;91;79;92;78;92;*;S;0.51;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;81;96;44;10;81;96;125;96;125;106;81;106;Firmani;AAAAAAA;0.68;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;129;96;10;10;129;96;139;96;139;106;129;106;&;S;1.0;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;143;96;59;11;143;96;202;96;202;107;143;107;Associates;AAAAAAAAAA;0.61;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;513;100;42;12;513;100;555;100;555;112;513;112;3/26/97;NSNNSNN;0.53;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;284;113;56;9;284;113;340;113;340;122;284;122;1129.10;NNNNSNN;0.43;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;622;118;65;10;622;118;687;118;687;128;622;128;2.821.08;NSNNNSNN;0.38;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;46;332;58;9;46;332;104;332;104;341;46;341;General;AAAAAAA;0.56;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;113;333;57;10;113;333;170;333;170;343;113;343;Account;AAAAAAA;0.34;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;174;333;25;10;174;333;199;333;199;343;174;343;II00;AANN;0.3;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;203;333;20;11;203;333;223;333;223;344;203;344;See;AAA;0.48;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;227;334;64;10;227;334;291;334;291;344;227;344;Breakdown;AAAAAAAAA;0.56;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;616;339;48;13;616;339;664;339;664;352;616;352;2.821.08;NSNNNSNN;0.44;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;34;383;18;7;34;383;52;383;52;390;34;390;R/961;ASNNN;0.16;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;466;419;6;13;466;419;472;419;472;432;466;432;5;N;0.05;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;454;420;7;13;454;420;461;420;461;433;454;433;2;N;0.27;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;479;420;25;13;479;420;504;420;504;433;479;433;1997;NNNN;0.28;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;421;421;24;12;421;421;445;421;445;433;421;433;f/.AR;ASSAA;0.34;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;509;451;15;11;509;451;524;451;524;462;509;462;P.S.;ASAS;0.7;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;459;452;46;11;459;452;505;452;505;463;459;463;BERMAN.;AAAAAAS;0.31;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;404;453;41;11;404;453;445;453;445;464;404;464;HAGENS;AAAAAA;0.29;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;448;453;7;10;448;453;455;453;455;463;448;463;&;S;0.67;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;578;501;31;9;578;501;609;501;609;510;578;510;Hours;AAAAA;0.43;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;628;501;39;9;628;501;667;501;667;510;628;510;Amount;AAAAAA;0.26;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;112;530;20;10;112;530;132;530;132;540;112;540;lob;AAA;0.26;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;56;543;35;10;56;543;91;543;91;553;56;553;2/3/97;NSNSNN;0.6;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;113;543;18;9;113;543;131;543;131;552;113;552;CH;AA;0.41;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;588;543;20;9;588;543;608;543;608;552;588;552;2.35;NSNN;0.64;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;637;543;31;9;637;543;668;543;668;552;637;552;199.75;NNNSNN;0.58;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;191;557;55;12;191;557;246;557;246;569;191;569;Telephone;AAAAAAAAA;0.31;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;249;557;18;9;249;557;267;557;267;566;249;566;call;AAAA;0.4;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;285;557;40;9;285;557;325;557;325;566;285;566;Berman;AAAAAA;0.47;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;329;557;15;9;329;557;344;557;344;566;329;566;for;AAA;0.4;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;348;557;38;12;348;557;386;557;386;569;348;569;update.;AAAAAAS;0.43;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;143;558;44;11;143;558;187;558;187;569;143;569;strategy.;AAAAAAAAS;0.37;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;272;558;9;8;272;558;281;558;281;566;272;566;to;AA;0.62;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;589;584;20;9;589;584;609;584;609;593;589;593;2.47;NSNN;0.76;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;636;584;32;9;636;584;668;584;668;593;636;593;209.67;NNNSNN;0.56;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;56;585;41;10;56;585;97;585;97;595;56;595;2/10/97;NSNNSNN;0.62;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;113;585;18;9;113;585;131;585;131;594;113;594;CH;AA;0.39;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;321;598;10;10;321;598;331;598;331;608;321;608;of;AA;0.39;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;335;598;42;12;335;598;377;598;377;610;335;610;targeted;AAAAAAAA;0.33;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;382;598;61;9;382;598;443;598;443;607;382;607;distribution;AAAAAAAAAAAA;0.53;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;448;598;22;9;448;598;470;598;470;607;448;607;lists.;AAAAAS;0.53;undefined;OTHER;OTHER
83553577_3578.tif;1;0;754;1000;475;598;26;9;475;598;501;598;501;607;475;607;Draft;AAAAA;0.29;undefined;OTHER;OTHER
