src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
CTRCONTRACTS017922-7.tif;1;0;754;1000;517;142;22;7;517;142;539;142;539;149;517;149;ISSUE;AAAAA;0.28;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;543;142;29;7;543;142;572;142;572;149;543;149;CHECK;AAAAA;0.46;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;576;143;41;6;576;143;617;143;617;149;576;149;PAYABLE;AAAAAAA;0.27;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;621;143;14;6;621;143;635;143;635;149;621;149;TO.;AAS;0.53;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;341;146;68;10;341;146;409;146;409;156;341;156;INVOICE;AAAAAAA;0.59;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;196;148;68;8;196;148;264;148;264;156;196;156;CORPORATION;AAAAAAAAAAA;0.57;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;150;149;40;8;150;149;190;149;190;157;150;157;CARBIDE;AAAAAAA;0.6;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;115;150;30;7;115;150;145;150;145;157;115;157;UNION;AAAAA;0.47;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;467;151;26;6;467;151;493;151;493;157;467;157;UNION;AAAAA;0.57;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;497;151;38;6;497;151;535;151;535;157;497;157;CARBIDE;AAAAAAA;0.27;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;539;151;65;8;539;151;604;151;604;159;539;159;CORPORATION.;AAAAAAAAAAAS;0.35;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;608;151;41;7;608;151;649;151;649;158;608;158;NUCLEAR;AAAAAAA;0.37;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;652;151;37;7;652;151;689;151;689;158;652;158;DIVISION;AAAAAAAA;0.33;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;115;160;38;7;115;160;153;160;153;167;115;167;NUCLEAR;AAAAAAA;0.35;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;156;160;36;8;156;160;192;160;192;168;156;168;J)lVISION;ASAAAAAAA;0.36;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;526;160;44;6;526;160;570;160;570;166;526;166;Government;AAAAAAAAAA;0.27;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;574;160;18;6;574;160;592;160;592;166;574;166;Fund;AAAA;0.28;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;596;160;31;6;596;160;627;160;627;166;596;166;Account;AAAAAAA;0.32;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;58;162;17;11;58;162;75;162;75;173;58;173;r^v;ASA;0.53;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;80;163;17;6;80;163;97;163;97;169;80;169;iK-f;AASA;0.27;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;76;169;1;4;76;169;77;169;77;173;76;173;|;S;0.31;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;131;169;12;7;131;169;143;169;143;176;131;176;oC‘x;AASA;0.4;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;495;170;7;6;495;170;502;170;502;176;495;176;P.;AS;0.43;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;506;170;8;7;506;170;514;170;514;177;506;177;0.;NS;0.46;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;518;170;14;7;518;170;532;170;532;177;518;177;8~;NS;0.14;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;536;170;8;8;536;170;544;170;544;178;536;178;p,;AS;0.56;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;548;170;14;7;548;170;562;170;562;177;548;177;OoV;AAA;0.17;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;566;170;12;7;566;170;578;170;578;177;566;177;Rid;AAA;0.16;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;594;170;41;7;594;170;635;170;635;177;594;177;Tennessee;AAAAAAAAA;0.39;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;640;170;23;7;640;170;663;170;663;177;640;177;37830;NNNNN;0.28;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;172;171;18;5;172;171;190;171;190;176;172;176;rioc€;AAAAS;0.3;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;197;171;36;5;197;171;233;171;233;176;197;176;?enmcs^t*;SAAAAASAS;0.29;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;239;171;16;5;239;171;255;171;255;176;239;176;myi;AAA;0.34;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;115;172;13;4;115;172;128;172;128;176;115;176;w.o.;ASAS;0.47;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;147;172;5;5;147;172;152;172;152;177;147;177;r.;AS;0.41;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;155;172;13;4;155;172;168;172;168;176;155;176;oak;AAA;0.4;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;579;173;4;6;579;173;583;173;583;179;579;179;9;N;0.0;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;584;173;6;5;584;173;590;173;590;178;584;178;c,;AS;0.56;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;192;175;1;1;192;175;193;175;193;176;192;176;.;S;0.83;undefined;OTHER;OTHER
CTRCONTRACTS017922-7.tif;1;0;754;1000;491;180;38;7;491;180;529;180;529;187;491;187;Attention:;AAAAAAAAAS;0.26;undefined;OTHER;OTHER
