src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
CTRSP-FILES025078-50.tif;1;0;754;1000;636;120;23;10;636;120;659;120;659;130;636;130;INC.;AAAS;0.65;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;534;121;33;9;534;121;567;121;567;130;534;130;ACVA;AAAA;1.0;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;573;121;57;9;573;121;630;121;630;130;573;130;ATLANTIC;AAAAAAAA;0.73;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;592;135;37;11;592;135;629;135;629;146;592;146;Bu**ng;AASSAA;0.37;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;534;136;19;8;534;136;553;136;553;144;534;144;Toe;AAA;0.31;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;557;136;31;9;557;136;588;136;588;145;557;145;Mosby;AAAAA;0.35;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;535;148;24;9;535;148;559;148;559;157;535;157;Suite;AAAAA;0.57;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;563;149;17;8;563;149;580;149;580;157;563;157;406;NNN;0.4;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;595;161;27;9;595;161;622;161;622;170;595;170;Street;AAAAAA;0.45;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;535;162;29;8;535;162;564;162;564;170;535;170;10560;NNNNN;0.38;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;569;162;22;8;569;162;591;162;591;170;569;170;Main;AAAA;0.44;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;535;175;32;8;535;175;567;175;567;183;535;183;Fairfax;AAAAAAA;0.45;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;574;188;29;9;574;188;603;188;603;197;574;197;22030;NNNNN;0.6;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;534;189;36;11;534;189;570;189;570;200;534;200;Virginia;AAAAAAAA;0.59;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;254;195;52;11;254;195;306;195;306;206;254;206;Research;AAAAAAAA;0.56;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;327;195;24;11;327;195;351;195;351;206;327;206;USA,;AAAS;0.66;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;360;195;22;10;360;195;382;195;382;205;360;205;Inc.;AAAS;0.81;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;97;196;19;11;97;196;116;196;116;207;97;207;The;AAA;0.64;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;123;196;43;10;123;196;166;196;166;206;123;206;Council;AAAAAAA;0.6;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;175;196;19;10;175;196;194;196;194;206;175;206;for;AAA;0.78;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;201;196;46;10;201;196;247;196;247;206;201;206;Tobacco;AAAAAAA;0.52;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;75;199;14;8;75;199;89;199;89;207;75;207;to:;AAS;0.28;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;314;200;5;2;314;200;319;200;319;202;314;202;-;S;0.63;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;535;202;24;11;535;202;559;202;559;213;535;213;(703);SNNNS;0.69;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;563;202;44;9;563;202;607;202;607;211;563;211;352-0102;NNNSNNNN;0.63;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;97;210;19;11;97;210;116;210;116;221;97;221;900;NNN;0.73;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;123;210;32;10;123;210;155;210;155;220;123;220;Third;AAAAA;0.52;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;162;210;38;10;162;210;200;210;200;220;162;220;Avenue;AAAAAA;0.53;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;188;223;25;10;188;223;213;223;213;233;188;233;York;AAAA;0.23;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;229;223;31;10;229;223;260;223;260;233;229;233;10022;NNNNN;0.36;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;97;224;19;10;97;224;116;224;116;234;97;234;New;AAA;0.7;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;123;224;31;11;123;224;154;224;154;235;123;235;York,;AAAAS;0.56;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;162;224;19;9;162;224;181;224;181;233;162;233;New;AAA;0.38;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;559;261;18;10;559;261;577;261;577;271;559;271;476;NNN;0.5;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;491;265;35;7;491;265;526;265;526;272;491;272;INVOICE;AAAAAAA;0.43;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;530;265;17;7;530;265;547;265;547;272;530;272;NO.:;AASS;0.5;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;603;281;12;10;603;281;615;281;615;291;603;291;85;NN;0.44;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;522;282;25;7;522;282;547;282;547;289;522;289;DATE:;AAAAS;0.26;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;560;282;11;9;560;282;571;282;571;291;560;291;26;NN;0.62;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;578;282;18;9;578;282;596;282;596;291;578;291;Nov;AAA;0.54;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;282;319;43;12;282;319;325;319;325;331;282;331;Special;AAAAAAA;0.49;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;334;319;44;11;334;319;378;319;378;330;334;330;Project;AAAAAAA;0.58;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;386;319;24;10;386;319;410;319;410;329;386;329;#134;SNNN;0.5;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;136;320;18;9;136;320;154;320;154;329;136;329;Mr.;AAS;0.76;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;163;320;24;9;163;320;187;320;187;329;163;329;R.F.;ASAS;0.48;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;195;320;66;10;195;320;261;320;261;330;195;330;Gertenbach;AAAAAAAAAA;0.6;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;74;322;52;9;74;322;126;322;126;331;74;331;YOUAneF-;AAAAAAAS;0.23;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;269;324;5;3;269;324;274;324;274;327;269;327;-;S;0.43;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;222;378;70;12;222;378;292;378;292;390;222;390;Residential;AAAAAAAAAAA;0.52;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;301;379;19;9;301;379;320;379;320;388;301;388;Air;AAA;0.66;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;327;379;45;11;327;379;372;379;372;390;327;390;Quality;AAAAAAA;0.6;undefined;OTHER;OTHER
CTRSP-FILES025078-50.tif;1;0;754;1000;379;379;31;10;379;379;410;379;410;389;379;389;Study;AAAAA;0.65;undefined;OTHER;OTHER
