src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
ti17120370.tif;1;0;754;1000;188;155;76;10;188;155;264;155;264;165;188;165;POLITICAL;AAAAAAAAA;0.74;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;268;155;75;10;268;155;343;155;343;165;268;165;CAMPAIGN;AAAAAAAA;0.49;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;348;156;107;11;348;156;455;156;455;167;348;167;CONTRIBUTION;AAAAAAAAAAAA;0.47;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;460;156;64;12;460;156;524;156;524;168;460;168;REQUEST;AAAAAAA;0.57;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;520;202;14;14;520;202;534;202;534;216;520;216;□;S;0.45;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;109;203;28;10;109;203;137;203;137;213;109;213;Date:;AAAAS;0.51;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;150;203;25;12;150;203;175;203;175;215;150;215;May;AAA;0.63;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;180;203;14;11;180;203;194;203;194;214;180;214;13,;NNS;0.72;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;201;203;25;10;201;203;226;203;226;213;201;213;1998;NNNN;0.31;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;398;204;29;10;398;204;427;204;427;214;398;214;State:;AAAAAS;0.58;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;438;204;9;10;438;204;447;204;447;214;438;214;X;A;0.96;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;479;204;29;10;479;204;508;204;508;214;479;214;Local;AAAAA;0.75;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;266;252;74;10;266;252;340;252;340;262;266;262;RECIPIENT;AAAAAAAAA;0.6;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;345;252;99;10;345;252;444;252;444;262;345;262;INFORMATION;AAAAAAAAAAA;0.66;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;108;300;32;10;108;300;140;300;140;310;108;310;Name;AAAA;0.71;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;280;301;37;10;280;301;317;301;317;311;280;311;Dennis;AAAAAA;0.78;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;321;301;32;10;321;301;353;301;353;311;321;311;Nolan;AAAAA;0.65;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;108;315;40;8;108;315;148;315;148;323;108;323;(Individual;SAAAAAAAAAA;0.6;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;150;315;37;7;150;315;187;315;187;322;150;322;Candidate;AAAAAAAAA;0.23;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;199;315;63;9;199;315;262;315;262;324;199;324;Fiii*tr*iitn*Otfc);AAAASAASAAAASAAAAS;0.29;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;189;317;7;5;189;317;196;317;196;322;189;322;cr;AA;0.16;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;108;328;44;10;108;328;152;328;152;338;108;338;Address;AAAAAAA;0.67;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;280;328;22;11;280;328;302;328;302;339;280;339;P.O.;ASAS;0.54;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;308;329;21;10;308;329;329;329;329;339;308;339;Box;AAA;0.53;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;334;329;33;10;334;329;367;329;367;339;334;339;82194;NNNNN;0.49;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;280;345;18;10;280;345;298;345;298;355;280;355;Las;AAA;0.44;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;303;345;36;12;303;345;339;345;339;357;303;357;Vegas.;AAAAAS;0.61;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;343;345;19;10;343;345;362;345;362;355;343;355;NV;AA;0.87;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;367;345;33;10;367;345;400;345;400;355;367;355;89180;NNNNN;0.49;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;107;377;42;10;107;377;149;377;149;387;107;387;Current;AAAAAAA;0.62;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;154;377;33;11;154;377;187;377;187;388;154;388;Office;AAAAAA;0.63;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;214;377;39;11;214;377;253;377;253;388;214;388;District;AAAAAAAA;0.81;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;191;378;18;9;191;378;209;378;209;387;191;387;and;AAA;0.72;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;279;378;24;10;279;378;303;378;303;388;279;388;Dist.;AAAAS;0.75;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;311;378;10;10;311;378;321;378;321;388;311;388;13;NN;0.73;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;148;389;2;2;148;389;150;389;150;391;148;391;1;N;0.32;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;144;390;2;1;144;390;146;390;146;391;144;391;"""";S;0.52;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;293;390;1;2;293;390;294;390;294;392;293;392;1;N;0.52;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;369;391;1;1;369;391;370;391;370;392;369;392;■;S;0.47;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;531;391;1;2;531;391;532;391;532;393;531;393;i;A;0.35;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;533;391;2;2;533;391;535;391;535;393;533;393;■;S;0.33;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;537;391;33;2;537;391;570;391;570;393;537;393;——^;SSS;1.0;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;108;394;41;12;108;394;149;394;149;406;108;406;Aspired;AAAAAAA;0.87;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;154;394;33;11;154;394;187;394;187;405;154;405;Office;AAAAAA;0.55;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;214;394;40;11;214;394;254;394;254;405;214;405;District;AAAAAAAA;0.73;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;191;395;19;10;191;395;210;395;210;405;191;405;and;AAA;0.51;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;107;411;28;12;107;411;135;411;135;423;107;423;Party;AAAAA;0.7;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;279;412;59;13;279;412;338;412;338;425;279;425;Republican;AAAAAAAAAA;0.53;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;107;428;60;13;107;428;167;428;167;441;107;441;Leadership;AAAAAAAAAA;0.67;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;171;428;44;11;171;428;215;428;215;439;171;439;Position;AAAAAAAA;0.88;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;279;429;51;13;279;429;330;429;330;442;279;442;Assembly;AAAAAAAA;0.75;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;107;445;65;11;107;445;172;445;172;456;107;456;Committees;AAAAAAAAAA;0.63;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;106;460;20;8;106;460;126;460;126;468;106;468;(Nrtc;SAAAA;0.51;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;129;460;57;8;129;460;186;460;186;468;129;468;Chiinrorshipf);AAAAAAAAAAAAAS;0.17;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;247;522;107;11;247;522;354;522;354;533;247;533;CONTRIBUTION;AAAAAAAAAAAA;0.77;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;359;523;100;10;359;523;459;523;459;533;359;533;INFORMATION;AAAAAAAAAAA;0.7;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;106;571;44;10;106;571;150;571;150;581;106;581;Amount;AAAAAA;0.68;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;350;572;43;10;350;572;393;572;393;582;350;582;$500.00;SNNNSNN;0.51;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;106;588;46;10;106;588;152;588;152;598;106;598;Account;AAAAAAA;0.85;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;156;588;29;10;156;588;185;588;185;598;156;598;Code;AAAA;0.73;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;351;589;81;10;351;589;432;589;432;599;351;599;1401-7710-NV;NNNNSNNNNSAA;0.49;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;436;590;11;9;436;590;447;590;447;599;436;599;01;NN;0.25;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;464;604;69;15;464;604;533;604;533;619;464;619;X)tSAZ\Af\;ASAAAASAAS;0.15;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;106;605;34;10;106;605;140;605;140;615;106;615;Check;AAAAA;0.86;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;144;605;42;12;144;605;186;605;186;617;144;617;Payable;AAAAAAA;0.87;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;349;605;60;12;349;605;409;605;409;617;349;617;Committee;AAAAAAAAA;0.55;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;542;605;22;13;542;605;564;605;564;618;542;618;A<0;ASN;0.17;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;427;606;27;11;427;606;454;606;454;617;427;617;Elect;AAAAA;0.65;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;190;607;10;9;190;607;200;607;200;616;190;616;to;AA;1.0;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;569;607;24;11;569;607;593;607;593;618;569;618;OxA;AAA;0.59;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;413;609;10;8;413;609;423;609;423;617;413;617;to;AA;0.63;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;105;622;45;10;105;622;150;622;150;632;105;632;Address;AAAAAAA;0.74;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;105;638;31;13;105;638;136;638;136;651;105;651;(Only;SAAAA;0.8;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;140;638;9;10;140;638;149;638;149;648;140;648;if;AA;0.67;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;151;638;45;11;151;638;196;638;196;649;151;649;different;AAAAAAAAA;0.59;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;201;638;25;11;201;638;226;638;226;649;201;649;from;AAAA;0.43;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;230;639;41;10;230;639;271;639;271;649;230;649;address;AAAAAAA;0.65;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;275;639;36;12;275;639;311;639;311;651;275;651;above);AAAAAS;0.79;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;105;672;35;10;105;672;140;672;140;682;105;682;Notes:;AAAAAS;0.55;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;349;673;14;10;349;673;363;673;363;683;349;683;As;AA;1.0;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;412;673;42;13;412;673;454;673;454;686;412;686;possible;AAAAAAAA;0.86;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;367;676;25;7;367;676;392;676;392;683;367;683;soon;AAAA;0.66;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;396;676;11;7;396;676;407;676;407;683;396;683;as;AA;0.6;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;105;688;30;12;105;688;135;688;135;700;105;700;(Date;SAAAA;0.79;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;140;688;41;12;140;688;181;688;181;700;140;700;"needed;";AAAAAAS;0.74;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;185;688;54;10;185;688;239;688;239;698;185;698;fundraiser;AAAAAAAAAA;0.77;undefined;OTHER;OTHER
ti17120370.tif;1;0;754;1000;243;688;26;12;243;688;269;688;269;700;243;700;"date;";AAAAS;0.59;undefined;OTHER;OTHER
