src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;confidence;correctclass;tag;description
tob02910.64.tif;1;0;786;1000;247;31;139;11;247;31;386;31;386;42;247;42;RECAPITULATION;AAAAAAAAAAAAAA;0.5;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;396;32;18;9;396;32;414;32;414;41;396;41;OF;AA;0.7;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;425;32;107;10;425;32;532;32;532;42;425;42;ADVERTISING;AAAAAAAAAAA;0.51;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;543;33;48;10;543;33;591;33;591;43;543;43;COSTS;AAAAA;0.71;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;585;66;2;3;585;66;587;66;587;69;585;69;';S;1.0;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;216;67;129;12;216;67;345;67;345;79;216;79;Advertisement;AAAAAAAAAAAAA;0.55;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;129;68;77;10;129;68;206;68;206;78;129;78;Barron's;AAAAAASA;0.76;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;356;73;8;3;356;73;364;73;364;76;356;76;-;S;0.55;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;573;78;2;3;573;78;575;78;575;81;573;81;.;S;0.25;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;573;78;3;6;573;78;576;78;576;84;573;84;V;A;0.25;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;583;78;3;6;583;78;586;78;586;84;583;84;l;A;0.93;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;613;78;2;3;613;78;615;78;615;81;613;81;1;N;0.56;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;127;79;3;3;127;79;130;79;130;82;127;82;■;S;0.52;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;138;79;2;2;138;79;140;79;140;81;138;81;■;S;0.43;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;274;79;3;2;274;79;277;79;277;81;274;81;*;S;0.6;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;293;79;4;2;293;79;297;79;297;81;293;81;■■;SS;0.58;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;286;80;3;1;286;80;289;80;289;81;286;81;■;S;0.72;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;609;82;1;2;609;82;610;82;610;84;609;84;.;S;0.55;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;148;106;87;13;148;106;235;106;235;119;148;119;Newspaper;AAAAAAAAA;0.54;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;524;106;105;14;524;106;629;106;629;120;524;120;$421,902.09;SNNNSNNNSNN;0.68;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;247;108;47;11;247;108;294;108;294;119;247;119;space;AAAAA;0.84;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;246;123;98;12;246;123;344;123;344;135;246;135;Production;AAAAAAAAAA;0.57;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;148;124;87;13;148;124;235;124;235;137;148;137;Newspaper;AAAAAAAAA;0.66;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;543;124;86;14;543;124;629;124;629;138;543;138;12,717.77;NNSNNNSNN;0.69;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;356;125;47;11;356;125;403;125;403;136;356;136;costs;AAAAA;0.88;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;147;142;77;14;147;142;224;142;224;156;147;156;Magazine;AAAAAAAA;0.64;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;543;143;85;14;543;143;628;143;628;157;543;157;98,786.57;NNSNNNSNN;0.76;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;237;145;47;11;237;145;284;145;284;156;237;156;space;AAAAA;0.84;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;147;160;77;15;147;160;224;160;224;175;147;175;Magazine;AAAAAAAA;0.55;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;236;161;98;11;236;161;334;161;334;172;236;172;Production;AAAAAAAAAA;0.77;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;345;162;48;11;345;162;393;162;393;173;345;173;costs;AAAAA;0.83;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;572;162;56;11;572;162;628;162;628;173;572;173;826.81;NNNSNN;0.86;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;148;179;77;12;148;179;225;179;225;191;148;191;Research;AAAAAAAA;0.7;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;299;179;140;15;299;179;439;179;439;194;299;194;(questionnaire);SAAAAAAAAAAAAAS;0.8;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;236;180;48;14;236;180;284;180;284;194;236;194;Study;AAAAA;0.91;undefined;OTHER;OTHER
tob02910.64.tif;1;0;786;1000;552;181;76;12;552;181;628;181;628;193;552;193;6,000.00;NSNNNSNN;0.66;undefined;OTHER;OTHER
