type;file;image;pdf;gedi;provider;words
invoice;amazon-1.csv;amazon-1.tiff;amazon-1.pdf;amazon-1.xml;amazon;169
invoice;amazon-10.csv;amazon-10.tiff;amazon-10.pdf;amazon-10.xml;amazon;183
invoice;amazon-100.csv;amazon-100.tiff;amazon-100.pdf;amazon-100.xml;amazon;195
invoice;amazon-101.csv;amazon-101.tiff;amazon-101.pdf;amazon-101.xml;amazon;173
invoice;amazon-102.csv;amazon-102.tiff;amazon-102.pdf;amazon-102.xml;amazon;205
invoice;amazon-103.csv;amazon-103.tiff;amazon-103.pdf;amazon-103.xml;amazon;209
invoice;amazon-104.csv;amazon-104.tiff;amazon-104.pdf;amazon-104.xml;amazon;160
invoice;amazon-105.csv;amazon-105.tiff;amazon-105.pdf;amazon-105.xml;amazon;193
invoice;amazon-106.csv;amazon-106.tiff;amazon-106.pdf;amazon-106.xml;amazon;228
invoice;amazon-107.csv;amazon-107.tiff;amazon-107.pdf;amazon-107.xml;amazon;174
invoice;amazon-108.csv;amazon-108.tiff;amazon-108.pdf;amazon-108.xml;amazon;168
invoice;amazon-109.csv;amazon-109.tiff;amazon-109.pdf;amazon-109.xml;amazon;176
invoice;amazon-11.csv;amazon-11.tiff;amazon-11.pdf;amazon-11.xml;amazon;189
invoice;amazon-110.csv;amazon-110.tiff;amazon-110.pdf;amazon-110.xml;amazon;193
invoice;amazon-111.csv;amazon-111.tiff;amazon-111.pdf;amazon-111.xml;amazon;189
invoice;amazon-112.csv;amazon-112.tiff;amazon-112.pdf;amazon-112.xml;amazon;179
invoice;amazon-113.csv;amazon-113.tiff;amazon-113.pdf;amazon-113.xml;amazon;218
invoice;amazon-114.csv;amazon-114.tiff;amazon-114.pdf;amazon-114.xml;amazon;168
invoice;amazon-115.csv;amazon-115.tiff;amazon-115.pdf;amazon-115.xml;amazon;219
invoice;amazon-116.csv;amazon-116.tiff;amazon-116.pdf;amazon-116.xml;amazon;190
invoice;amazon-117.csv;amazon-117.tiff;amazon-117.pdf;amazon-117.xml;amazon;205
invoice;amazon-118.csv;amazon-118.tiff;amazon-118.pdf;amazon-118.xml;amazon;203
invoice;amazon-119.csv;amazon-119.tiff;amazon-119.pdf;amazon-119.xml;amazon;184
invoice;amazon-12.csv;amazon-12.tiff;amazon-12.pdf;amazon-12.xml;amazon;176
invoice;amazon-120.csv;amazon-120.tiff;amazon-120.pdf;amazon-120.xml;amazon;207
invoice;amazon-121.csv;amazon-121.tiff;amazon-121.pdf;amazon-121.xml;amazon;195
invoice;amazon-122.csv;amazon-122.tiff;amazon-122.pdf;amazon-122.xml;amazon;214
invoice;amazon-123.csv;amazon-123.tiff;amazon-123.pdf;amazon-123.xml;amazon;215
invoice;amazon-124.csv;amazon-124.tiff;amazon-124.pdf;amazon-124.xml;amazon;217
invoice;amazon-125.csv;amazon-125.tiff;amazon-125.pdf;amazon-125.xml;amazon;172
invoice;amazon-126.csv;amazon-126.tiff;amazon-126.pdf;amazon-126.xml;amazon;162
invoice;amazon-127.csv;amazon-127.tiff;amazon-127.pdf;amazon-127.xml;amazon;200
invoice;amazon-128.csv;amazon-128.tiff;amazon-128.pdf;amazon-128.xml;amazon;207
invoice;amazon-129.csv;amazon-129.tiff;amazon-129.pdf;amazon-129.xml;amazon;172
invoice;amazon-13.csv;amazon-13.tiff;amazon-13.pdf;amazon-13.xml;amazon;168
invoice;amazon-130.csv;amazon-130.tiff;amazon-130.pdf;amazon-130.xml;amazon;194
invoice;amazon-131.csv;amazon-131.tiff;amazon-131.pdf;amazon-131.xml;amazon;194
invoice;amazon-132.csv;amazon-132.tiff;amazon-132.pdf;amazon-132.xml;amazon;169
invoice;amazon-133.csv;amazon-133.tiff;amazon-133.pdf;amazon-133.xml;amazon;230
invoice;amazon-134.csv;amazon-134.tiff;amazon-134.pdf;amazon-134.xml;amazon;189
invoice;amazon-135.csv;amazon-135.tiff;amazon-135.pdf;amazon-135.xml;amazon;166
invoice;amazon-136.csv;amazon-136.tiff;amazon-136.pdf;amazon-136.xml;amazon;207
invoice;amazon-137.csv;amazon-137.tiff;amazon-137.pdf;amazon-137.xml;amazon;199
invoice;amazon-138.csv;amazon-138.tiff;amazon-138.pdf;amazon-138.xml;amazon;235
invoice;amazon-139.csv;amazon-139.tiff;amazon-139.pdf;amazon-139.xml;amazon;190
invoice;amazon-14.csv;amazon-14.tiff;amazon-14.pdf;amazon-14.xml;amazon;193
invoice;amazon-140.csv;amazon-140.tiff;amazon-140.pdf;amazon-140.xml;amazon;205
invoice;amazon-141.csv;amazon-141.tiff;amazon-141.pdf;amazon-141.xml;amazon;173
invoice;amazon-142.csv;amazon-142.tiff;amazon-142.pdf;amazon-142.xml;amazon;207
invoice;amazon-143.csv;amazon-143.tiff;amazon-143.pdf;amazon-143.xml;amazon;215
invoice;amazon-144.csv;amazon-144.tiff;amazon-144.pdf;amazon-144.xml;amazon;214
invoice;amazon-145.csv;amazon-145.tiff;amazon-145.pdf;amazon-145.xml;amazon;194
invoice;amazon-146.csv;amazon-146.tiff;amazon-146.pdf;amazon-146.xml;amazon;190
invoice;amazon-147.csv;amazon-147.tiff;amazon-147.pdf;amazon-147.xml;amazon;163
invoice;amazon-148.csv;amazon-148.tiff;amazon-148.pdf;amazon-148.xml;amazon;168
invoice;amazon-149.csv;amazon-149.tiff;amazon-149.pdf;amazon-149.xml;amazon;178
invoice;amazon-15.csv;amazon-15.tiff;amazon-15.pdf;amazon-15.xml;amazon;182
invoice;amazon-150.csv;amazon-150.tiff;amazon-150.pdf;amazon-150.xml;amazon;184
invoice;amazon-151.csv;amazon-151.tiff;amazon-151.pdf;amazon-151.xml;amazon;172
invoice;amazon-152.csv;amazon-152.tiff;amazon-152.pdf;amazon-152.xml;amazon;183
invoice;amazon-153.csv;amazon-153.tiff;amazon-153.pdf;amazon-153.xml;amazon;199
invoice;amazon-154.csv;amazon-154.tiff;amazon-154.pdf;amazon-154.xml;amazon;217
invoice;amazon-155.csv;amazon-155.tiff;amazon-155.pdf;amazon-155.xml;amazon;210
invoice;amazon-156.csv;amazon-156.tiff;amazon-156.pdf;amazon-156.xml;amazon;168
invoice;amazon-157.csv;amazon-157.tiff;amazon-157.pdf;amazon-157.xml;amazon;178
invoice;amazon-158.csv;amazon-158.tiff;amazon-158.pdf;amazon-158.xml;amazon;163
invoice;amazon-159.csv;amazon-159.tiff;amazon-159.pdf;amazon-159.xml;amazon;220
invoice;amazon-16.csv;amazon-16.tiff;amazon-16.pdf;amazon-16.xml;amazon;178
invoice;amazon-160.csv;amazon-160.tiff;amazon-160.pdf;amazon-160.xml;amazon;210
invoice;amazon-161.csv;amazon-161.tiff;amazon-161.pdf;amazon-161.xml;amazon;199
invoice;amazon-162.csv;amazon-162.tiff;amazon-162.pdf;amazon-162.xml;amazon;185
invoice;amazon-163.csv;amazon-163.tiff;amazon-163.pdf;amazon-163.xml;amazon;184
invoice;amazon-164.csv;amazon-164.tiff;amazon-164.pdf;amazon-164.xml;amazon;158
invoice;amazon-165.csv;amazon-165.tiff;amazon-165.pdf;amazon-165.xml;amazon;187
invoice;amazon-166.csv;amazon-166.tiff;amazon-166.pdf;amazon-166.xml;amazon;213
invoice;amazon-167.csv;amazon-167.tiff;amazon-167.pdf;amazon-167.xml;amazon;163
invoice;amazon-168.csv;amazon-168.tiff;amazon-168.pdf;amazon-168.xml;amazon;211
invoice;amazon-169.csv;amazon-169.tiff;amazon-169.pdf;amazon-169.xml;amazon;182
invoice;amazon-17.csv;amazon-17.tiff;amazon-17.pdf;amazon-17.xml;amazon;208
invoice;amazon-170.csv;amazon-170.tiff;amazon-170.pdf;amazon-170.xml;amazon;156
invoice;amazon-171.csv;amazon-171.tiff;amazon-171.pdf;amazon-171.xml;amazon;177
invoice;amazon-172.csv;amazon-172.tiff;amazon-172.pdf;amazon-172.xml;amazon;193
invoice;amazon-173.csv;amazon-173.tiff;amazon-173.pdf;amazon-173.xml;amazon;202
invoice;amazon-174.csv;amazon-174.tiff;amazon-174.pdf;amazon-174.xml;amazon;222
invoice;amazon-175.csv;amazon-175.tiff;amazon-175.pdf;amazon-175.xml;amazon;179
invoice;amazon-176.csv;amazon-176.tiff;amazon-176.pdf;amazon-176.xml;amazon;204
