id;src;num_pages;page_id;page_width;page_height;col;row;width;height;x1;y1;x2;y2;x3;y3;x4;y4;contents;contents_masked;correctclass;tag;description;alphabetic;numeric;symbolic;feature;rdt;rdr;rdb;rdl;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11
51824;darty25.tiff;1;1;2480;3508;445;162;54;43;445;162;499;162;499;205;445;205;UN;AA;SN;SUPPLIER_NAME;Seller/Company) name;2;0;0;[0.046180159635119726, 0.17943548387096775, 0.021774193548387097, 0.01225769669327252, 1.0, 0.0, 0.0];;0.004435483870967742;0.009692132269099202;;0.046180159635119726;0.17943548387096775;0.021774193548387097;0.01225769669327252;1.0;0.0;0.0;;0.004435483870967742;0.009692132269099202;
51825;darty25.tiff;1;1;2480;3508;510;162;102;43;510;162;612;162;612;205;510;205;JOUR;AAAA;SN;SUPPLIER_NAME;Seller/Company) name;4;0;0;[0.046180159635119726, 0.2056451612903226, 0.04112903225806452, 0.01225769669327252, 1.0, 0.0, 0.0];;0.004032258064516129;;-0.004435483870967742;0.046180159635119726;0.2056451612903226;0.04112903225806452;0.01225769669327252;1.0;0.0;0.0;;0.004032258064516129;;-0.004435483870967742
51826;darty25.tiff;1;1;2480;3508;622;162;181;43;622;162;803;162;803;205;622;205;AILLEURS;AAAAAAAA;SN;SUPPLIER_NAME;Seller/Company) name;8;0;0;[0.046180159635119726, 0.2508064516129032, 0.07298387096774193, 0.01225769669327252, 1.0, 0.0, 0.0];;;0.009692132269099202;-0.004032258064516129;0.046180159635119726;0.2508064516129032;0.07298387096774193;0.01225769669327252;1.0;0.0;0.0;;;0.009692132269099202;-0.004032258064516129
51856;darty25.tiff;1;1;2480;3508;1375;208;104;43;1375;208;1479;208;1479;251;1375;251;IMANI;AAAAA;SHN;SHIPPING_NAME;Shipping Name;5;0;0;[0.059293044469783354, 0.5544354838709677, 0.041935483870967745, 0.01225769669327252, 1.0, 0.0, 0.0];;0.004032258064516129;0.07041049030786774;-0.22862903225806452;0.059293044469783354;0.5544354838709677;0.041935483870967745;0.01225769669327252;1.0;0.0;0.0;;0.004032258064516129;0.07041049030786774;-0.22862903225806452
51857;darty25.tiff;1;1;2480;3508;1489;208;133;43;1489;208;1622;208;1622;251;1489;251;GRADY;AAAAA;SHN;SHIPPING_NAME;Shipping Name;5;0;0;[0.059293044469783354, 0.6004032258064517, 0.053629032258064514, 0.01225769669327252, 1.0, 0.0, 0.0];;;0.07041049030786774;-0.004032258064516129;0.059293044469783354;0.6004032258064517;0.053629032258064514;0.01225769669327252;1.0;0.0;0.0;;;0.07041049030786774;-0.004032258064516129
51827;darty25.tiff;1;1;2480;3508;445;239;143;43;445;239;588;239;588;282;445;282;Services;AAAAAAAA;undefined;OTHER;OTHER;8;0;0;[0.06812998859749145, 0.17943548387096775, 0.05766129032258065, 0.01225769669327252, 1.0, 0.0, 0.0];-0.009692132269099202;0.004838709677419355;0.03164196123147092;;0.06812998859749145;0.17943548387096775;0.05766129032258065;0.01225769669327252;1.0;0.0;0.0;-0.009692132269099202;0.004838709677419355;0.03164196123147092;
51828;darty25.tiff;1;1;2480;3508;600;239;208;43;600;239;808;239;808;282;600;282;Comptabilité;AAAAAAAAAAAA;undefined;OTHER;OTHER;12;0;0;[0.06812998859749145, 0.24193548387096775, 0.08387096774193549, 0.01225769669327252, 1.0, 0.0, 0.0];-0.009692132269099202;0.22862903225806452;0.03164196123147092;-0.004838709677419355;0.06812998859749145;0.24193548387096775;0.08387096774193549;0.01225769669327252;1.0;0.0;0.0;-0.009692132269099202;0.22862903225806452;0.03164196123147092;-0.004838709677419355
51858;darty25.tiff;1;1;2480;3508;1375;252;31;43;1375;252;1406;252;1406;295;1375;295;6,;NS;SHA;SHIPPING_ADDRESS;Shipping Address;0;1;1;[0.07183580387685291, 0.5544354838709677, 0.0125, 0.01225769669327252, 0.0, 0.5, 0.5];;0.004032258064516129;;;0.07183580387685291;0.5544354838709677;0.0125;0.01225769669327252;0.0;0.5;0.5;;0.004032258064516129;;
51859;darty25.tiff;1;1;2480;3508;1416;252;147;43;1416;252;1563;252;1563;295;1416;295;CHEMIN;AAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address;6;0;0;[0.07183580387685291, 0.5709677419354838, 0.059274193548387095, 0.01225769669327252, 1.0, 0.0, 0.0];;0.004838709677419355;;-0.004032258064516129;0.07183580387685291;0.5709677419354838;0.059274193548387095;0.01225769669327252;1.0;0.0;0.0;;0.004838709677419355;;-0.004032258064516129
51860;darty25.tiff;1;1;2480;3508;1575;252;52;43;1575;252;1627;252;1627;295;1575;295;DE;AA;SHA;SHIPPING_ADDRESS;Shipping Address;2;0;0;[0.07183580387685291, 0.6350806451612904, 0.020967741935483872, 0.01225769669327252, 1.0, 0.0, 0.0];;0.004032258064516129;;-0.004838709677419355;0.07183580387685291;0.6350806451612904;0.020967741935483872;0.01225769669327252;1.0;0.0;0.0;;0.004032258064516129;;-0.004838709677419355
51861;darty25.tiff;1;1;2480;3508;1637;252;175;43;1637;252;1812;252;1812;295;1637;295;PUISIEUX;AAAAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address;8;0;0;[0.07183580387685291, 0.6600806451612903, 0.07056451612903226, 0.01225769669327252, 1.0, 0.0, 0.0];;;0.08266818700114024;-0.004032258064516129;0.07183580387685291;0.6600806451612903;0.07056451612903226;0.01225769669327252;1.0;0.0;0.0;;;0.08266818700114024;-0.004032258064516129
51862;darty25.tiff;1;1;2480;3508;1375;295;104;43;1375;295;1479;295;1479;338;1375;338;02120;NNNNN;SHA;SHIPPING_ADDRESS;Shipping Address;0;5;0;[0.08409350057012542, 0.5544354838709677, 0.041935483870967745, 0.01225769669327252, 0.0, 1.0, 0.0];;0.004032258064516129;;-0.2806451612903226;0.08409350057012542;0.5544354838709677;0.041935483870967745;0.01225769669327252;0.0;1.0;0.0;;0.004032258064516129;;-0.2806451612903226
51863;darty25.tiff;1;1;2480;3508;1489;295;206;43;1489;295;1695;295;1695;338;1489;338;COLONFAY;AAAAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address;8;0;0;[0.08409350057012542, 0.6004032258064517, 0.08306451612903226, 0.01225769669327252, 1.0, 0.0, 0.0];;;;-0.004032258064516129;0.08409350057012542;0.6004032258064517;0.08306451612903226;0.01225769669327252;1.0;0.0;0.0;;;;-0.004032258064516129
51829;darty25.tiff;1;1;2480;3508;445;316;72;43;445;316;517;316;517;359;445;359;TSA;AAA;undefined;OTHER;OTHER;3;0;0;[0.09007981755986318, 0.17943548387096775, 0.02903225806451613, 0.01225769669327252, 1.0, 0.0, 0.0];;0.004838709677419355;;;0.09007981755986318;0.17943548387096775;0.02903225806451613;0.01225769669327252;1.0;0.0;0.0;;0.004838709677419355;;
51830;darty25.tiff;1;1;2480;3508;529;316;77;43;529;316;606;316;606;359;529;359;n°80;ASNN;undefined;OTHER;OTHER;1;2;1;[0.09007981755986318, 0.21330645161290324, 0.031048387096774193, 0.01225769669327252, 0.25, 0.5, 0.25];;0.004435483870967742;;-0.004838709677419355;0.09007981755986318;0.21330645161290324;0.031048387096774193;0.01225769669327252;0.25;0.5;0.25;;0.004435483870967742;;-0.004838709677419355
51831;darty25.tiff;1;1;2480;3508;617;316;62;43;617;316;679;316;679;359;617;359;004;NNN;undefined;OTHER;OTHER;0;3;0;[0.09007981755986318, 0.24879032258064515, 0.025, 0.01225769669327252, 0.0, 1.0, 0.0];;0.2806451612903226;;-0.004435483870967742;0.09007981755986318;0.24879032258064515;0.025;0.01225769669327252;0.0;1.0;0.0;;0.2806451612903226;;-0.004435483870967742
51864;darty25.tiff;1;1;2480;3508;1375;338;154;43;1375;338;1529;338;1529;381;1375;381;FRANCE;AAAAAA;SHA;SHIPPING_ADDRESS;Shipping Address;6;0;0;[0.09635119726339794, 0.5544354838709677, 0.062096774193548386, 0.01225769669327252, 1.0, 0.0, 0.0];;;;;0.09635119726339794;0.5544354838709677;0.062096774193548386;0.01225769669327252;1.0;0.0;0.0;;;;
51832;darty25.tiff;1;1;2480;3508;445;393;104;43;445;393;549;393;549;436;445;436;35760;NNNNN;SA;SUPPLIER_ADDRESS;Seller Address;0;5;0;[0.11202964652223489, 0.17943548387096775, 0.041935483870967745, 0.01225769669327252, 0.0, 1.0, 0.0];-0.03164196123147092;0.004435483870967742;0.009407069555302166;;0.11202964652223489;0.17943548387096775;0.041935483870967745;0.01225769669327252;0.0;1.0;0.0;-0.03164196123147092;0.004435483870967742;0.009407069555302166;
51833;darty25.tiff;1;1;2480;3508;560;393;12;43;560;393;572;393;572;436;560;436;-;S;SA;SUPPLIER_ADDRESS;Seller Address;0;0;1;[0.11202964652223489, 0.22580645161290322, 0.004838709677419355, 0.01225769669327252, 0.0, 0.0, 1.0];;0.004435483870967742;0.009407069555302166;-0.004435483870967742;0.11202964652223489;0.22580645161290322;0.004838709677419355;0.01225769669327252;0.0;0.0;1.0;;0.004435483870967742;0.009407069555302166;-0.004435483870967742
51834;darty25.tiff;1;1;2480;3508;583;393;110;43;583;393;693;393;693;436;583;436;SAINT;AAAAA;SA;SUPPLIER_ADDRESS;Seller Address;5;0;0;[0.11202964652223489, 0.23508064516129032, 0.04435483870967742, 0.01225769669327252, 1.0, 0.0, 0.0];-0.03164196123147092;0.004435483870967742;0.009407069555302166;-0.004435483870967742;0.11202964652223489;0.23508064516129032;0.04435483870967742;0.01225769669327252;1.0;0.0;0.0;-0.03164196123147092;0.004435483870967742;0.009407069555302166;-0.004435483870967742
51835;darty25.tiff;1;1;2480;3508;704;393;202;43;704;393;906;393;906;436;704;436;GREGOIRE;AAAAAAAA;SA;SUPPLIER_ADDRESS;Seller Address;8;0;0;[0.11202964652223489, 0.2838709677419355, 0.0814516129032258, 0.01225769669327252, 1.0, 0.0, 0.0];;;0.009407069555302166;-0.004435483870967742;0.11202964652223489;0.2838709677419355;0.0814516129032258;0.01225769669327252;1.0;0.0;0.0;;;0.009407069555302166;-0.004435483870967742
51836;darty25.tiff;1;1;2480;3508;445;469;108;43;445;469;553;469;553;512;445;512;Phone;AAAAA;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number;5;0;0;[0.13369441277080957, 0.17943548387096775, 0.043548387096774194, 0.01225769669327252, 1.0, 0.0, 0.0];-0.009407069555302166;0.004435483870967742;0.009692132269099202;;0.13369441277080957;0.17943548387096775;0.043548387096774194;0.01225769669327252;1.0;0.0;0.0;-0.009407069555302166;0.004435483870967742;0.009692132269099202;
51837;darty25.tiff;1;1;2480;3508;564;469;10;43;564;469;574;469;574;512;564;512;:;S;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number;0;0;1;[0.13369441277080957, 0.22741935483870968, 0.004032258064516129, 0.01225769669327252, 0.0, 0.0, 1.0];-0.009407069555302166;0.008467741935483872;0.009692132269099202;-0.004435483870967742;0.13369441277080957;0.22741935483870968;0.004032258064516129;0.01225769669327252;0.0;0.0;1.0;-0.009407069555302166;0.008467741935483872;0.009692132269099202;-0.004435483870967742
51839;darty25.tiff;1;1;2480;3508;595;469;63;43;595;469;658;469;658;512;595;512;+33;SNN;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number;0;2;1;[0.13369441277080957, 0.2399193548387097, 0.025403225806451612, 0.01225769669327252, 0.0, 0.6666666666666666, 0.3333333333333333];-0.009407069555302166;0.004435483870967742;;-0.008467741935483872;0.13369441277080957;0.2399193548387097;0.025403225806451612;0.01225769669327252;0.0;0.6666666666666666;0.3333333333333333;-0.009407069555302166;0.004435483870967742;;-0.008467741935483872
51840;darty25.tiff;1;1;2480;3508;669;469;45;43;669;469;714;469;714;512;669;512;(0);SNS;SCN;SUPPLIER_CONTACT_NUMBER;Seller Contact Number;0;1;2;[0.13369441277080957, 0.26975806451612905, 0.018145161290322582, 0.01225769669327252, 0.0, 0.3333333333333333, 0.6666666666666666];-0.009407069555302166;0.004838709677419355;0.009692132269099202;-0.004435483870967742;0.13369441277080957;0.26975806451612905;0.018145161290322582;0.01225769669327252;0.0;0.3333333333333333;0.6666666666666666;-0.009407069555302166;0.004838709677419355;0.009692132269099202;-0.004435483870967742
