n1;n2;direction
51824;51827;vertical
51824;51825;horitzontal
51825;51826;horitzontal
51826;51828;vertical
51827;51832;vertical
51827;51828;horitzontal
51829;51830;horitzontal
51830;51831;horitzontal
51828;51834;vertical
51828;51856;horitzontal
51831;51862;horitzontal
51856;51865;vertical
51856;51857;horitzontal
51858;51859;horitzontal
51862;51863;horitzontal
51859;51860;horitzontal
51857;51866;vertical
51860;51861;horitzontal
51861;51872;vertical
51832;51836;vertical
51832;51833;horitzontal
51833;51837;vertical
51833;51834;horitzontal
51834;51839;vertical
51834;51835;horitzontal
51835;51840;vertical
51836;51846;vertical
51836;51837;horitzontal
51837;51849;vertical
51837;51839;horitzontal
51839;51840;horitzontal
51840;51851;vertical
51840;51841;horitzontal
51841;51852;vertical
51841;51842;horitzontal
51842;51853;vertical
51842;51843;horitzontal
51843;51854;vertical
51843;51844;horitzontal
51844;51855;vertical
51844;51845;horitzontal
51845;51923;vertical
51845;51865;horitzontal
51865;51867;vertical
51865;51866;horitzontal
51866;51873;vertical
51846;51875;vertical
51846;51847;horitzontal
51847;51876;vertical
51847;51849;horitzontal
51849;51874;vertical
51849;51850;horitzontal
51850;51851;horitzontal
51851;51852;horitzontal
51852;51853;horitzontal
51853;51880;vertical
51853;51854;horitzontal
51854;51881;vertical
51854;51855;horitzontal
51855;51867;horitzontal
51867;51930;vertical
51867;51868;horitzontal
51871;51872;horitzontal
51873;51894;vertical
51868;51869;horitzontal
51869;51870;horitzontal
51870;51895;vertical
51875;51884;vertical
51875;51876;horitzontal
51876;51878;horitzontal
51878;51888;vertical
51878;51879;horitzontal
51879;51880;horitzontal
51880;51889;vertical
51880;51881;horitzontal
51881;51922;vertical
51882;51890;vertical
51882;51883;horitzontal
51883;51884;horitzontal
51884;51891;vertical
51884;51886;horitzontal
51886;51892;vertical
51886;51887;horitzontal
51887;51888;horitzontal
51888;51921;vertical
51888;51889;horitzontal
51890;51918;vertical
51890;51891;horitzontal
51891;51919;vertical
51891;51892;horitzontal
51892;51920;vertical
51892;51893;horitzontal
51893;51899;vertical
51893;51894;horitzontal
51894;51931;vertical
51894;51895;horitzontal
51895;51896;horitzontal
51896;51900;vertical
51896;51897;horitzontal
51897;51933;vertical
51897;51898;horitzontal
51899;51903;vertical
51899;51900;horitzontal
51900;51932;vertical
51900;51901;horitzontal
51901;51902;horitzontal
51902;51986;vertical
51903;51928;vertical
51918;51935;vertical
51918;51919;horitzontal
51919;51936;vertical
51919;51920;horitzontal
51920;51924;vertical
51920;51921;horitzontal
51921;51922;horitzontal
51922;51925;vertical
51922;51923;horitzontal
51923;51926;vertical
51923;51928;horitzontal
51928;51946;vertical
51928;51929;horitzontal
51929;51947;vertical
51929;51930;horitzontal
51930;51948;vertical
51930;51931;horitzontal
51931;51949;vertical
51931;51932;horitzontal
51932;51934;vertical
51932;51933;horitzontal
51933;51951;vertical
51924;51937;vertical
51924;51925;horitzontal
51925;51938;vertical
51925;51926;horitzontal
51926;51940;vertical
51926;51927;horitzontal
51934;51950;vertical
51935;51953;vertical
51935;51936;horitzontal
51936;51954;vertical
51936;51937;horitzontal
51937;51941;vertical
51937;51938;horitzontal
51938;51939;horitzontal
51939;51942;vertical
51939;51940;horitzontal
51940;51943;vertical
51940;51946;horitzontal
51946;51963;vertical
51946;51947;horitzontal
51947;51964;vertical
51947;51948;horitzontal
51948;51965;vertical
51948;51949;horitzontal
51949;51966;vertical
51949;51950;horitzontal
51950;51952;vertical
51950;51951;horitzontal
51951;51968;vertical
51941;51955;vertical
51941;51942;horitzontal
51942;51957;vertical
51942;51943;horitzontal
51943;51958;vertical
51943;51944;horitzontal
51952;51967;vertical
51953;51954;horitzontal
51954;51955;horitzontal
51955;51960;vertical
51955;51956;horitzontal
51956;51957;horitzontal
51957;51961;vertical
51957;51958;horitzontal
51958;51962;vertical
51958;51959;horitzontal
51959;51973;vertical
51959;51963;horitzontal
51963;51974;vertical
51963;51964;horitzontal
51964;51965;horitzontal
51965;52000;vertical
51965;51966;horitzontal
51966;51976;vertical
51966;51967;horitzontal
51967;51969;vertical
51967;51968;horitzontal
51968;51972;vertical
51960;51970;vertical
51960;51961;horitzontal
51961;51971;vertical
51961;51962;horitzontal
51969;51977;vertical
51970;51971;horitzontal
51971;51990;vertical
51971;51972;horitzontal
51972;51978;vertical
51973;51979;vertical
51973;51974;horitzontal
51974;51980;vertical
51974;51975;horitzontal
51975;51982;vertical
51975;51976;horitzontal
51976;51983;vertical
51976;51977;horitzontal
51977;51984;vertical
51977;51978;horitzontal
51978;51988;vertical
51979;51992;vertical
51979;51980;horitzontal
51980;51997;vertical
51980;51981;horitzontal
51981;51998;vertical
51981;51982;horitzontal
51982;51999;vertical
51982;51983;horitzontal
51983;52003;vertical
51983;51988;horitzontal
51988;51989;vertical
51984;52007;vertical
51984;51985;horitzontal
51985;52047;vertical
51985;51986;horitzontal
51986;51987;horitzontal
51987;51989;horitzontal
51990;52030;vertical
51990;51991;horitzontal
51991;51992;horitzontal
51992;52011;vertical
51992;51994;horitzontal
51994;52013;vertical
51994;51995;horitzontal
51995;51996;horitzontal
51996;51997;horitzontal
51997;52014;vertical
51997;51998;horitzontal
51998;52015;vertical
51998;51999;horitzontal
51999;52016;vertical
51999;52000;horitzontal
52000;52019;vertical
52000;52001;horitzontal
52001;52003;horitzontal
52003;52020;vertical
52003;52004;horitzontal
52004;52021;vertical
52004;52005;horitzontal
52005;52022;vertical
52005;52006;horitzontal
52006;52007;horitzontal
52007;52009;horitzontal
52009;52038;vertical
52009;52010;horitzontal
52011;52031;vertical
52011;52012;horitzontal
52012;52032;vertical
52012;52013;horitzontal
52013;52014;horitzontal
52014;52023;vertical
52014;52015;horitzontal
52015;52016;horitzontal
52016;52026;vertical
52016;52018;horitzontal
52018;52028;vertical
52018;52019;horitzontal
52019;52020;horitzontal
52020;52029;vertical
52020;52021;horitzontal
52021;52022;horitzontal
52023;52033;vertical
52023;52024;horitzontal
52024;52035;vertical
52024;52025;horitzontal
52025;52026;horitzontal
52026;52027;horitzontal
52027;52036;vertical
52027;52028;horitzontal
52028;52037;vertical
52028;52029;horitzontal
52030;52039;vertical
52030;52031;horitzontal
52031;52032;horitzontal
52032;52033;horitzontal
52033;52042;vertical
52033;52034;horitzontal
52034;52035;horitzontal
52035;52036;horitzontal
52036;52043;vertical
52036;52037;horitzontal
52037;52044;vertical
52037;52038;horitzontal
52039;52040;horitzontal
52040;52041;horitzontal
